4,-6:-4, -6, 0
4,-6:-4, 2, 0, -12
4,-6:-4, 2, 0, -2
1,9:6, 6, -4, 0
1,0:6, 6, -2, 16
1,0:6, 6, 8, 16
-1,5:-4, -6, -14, 6, 0
7,0:-4, -6, -8, -18, -20
6,-10:-4, -6, -8, -18, -4
6,-10:-4, -6, -8, -18, 0
6,-10:-4, -6, -8, -4, -18
6,-10:-4, -6, -8, -4, -8
6,-10:-4, -6, -8, -2, -14
-1,5:-4, -6, 6, 0, -14
-1,5:-4, -6, 6, 0, -4
4,-6:-4, -6, 6, 0, 2
4,-6:-4, -6, 6, 0, 12
4,-6:-4, -6, 6, 4, 2
4,-6:-4, -6, 6, 4, 4
4,-6:-4, -6, 6, 4, 6
6,10:-4, -4, -14, 6, -4
6,10:-4, -4, 6, -4, -4
6,10:-4, -4, 6, -4, -2
2,4:-4, 0, -12, -10, 4
2,4:-4, 0, -12, 4, -10
2,4:-4, 0, -12, 4, -6
1,6:-4, 0, -12, 4, 6
-5,6:-4, 2, 6, 10, 6
4,-6:-4, 4, -10, -12, 2
4,-6:-4, 4, -10, 2, -14
4,-6:-4, 4, -10, 2, -12
4,-6:-4, 4, -10, 2, -10
4,-6:-4, 4, -8, 0, -10
4,-6:-4, 4, -8, 0, -8
6,6:-4, 4, -2, -12, -6
7,-3:6, -4, -4, -6, 0
-5,6:6, 6, 8, 8, -2
1,0:6, 6, 14, 16, -4
1,0:6, 6, 14, 16, 0
