-1,-1:-4, -6, -14
8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-1,-1:-4, -12, -14, 2
-1,-1:-4, -12, -14, 6
5,-7:-4, -6, -6, 4
-4,5:6, 6, 8, 2
-1,-1:-4, -12, -14, 0, 0
-1,-1:-4, -12, -14, 4, -4
-1,-1:-4, -12, -14, 4, -2
-1,-1:-4, -12, -14, 4, 0
10,3:-4, -12, -4, 2, 2
-4,-9:-4, -6, -6, -4, 6
-1,-1:-4, -4, -14, -2, 0
-1,-1:-4, -4, -14, 4, 2
-1,-1:-4, -4, -14, 4, 4
-1,-1:-4, -4, -14, 4, 6
-1,-1:-4, -4, -14, 6, 0
-1,-1:-4, -4, -14, 6, 10
-1,-1:-4, -4, -14, 8, 8
-8,6:-4, 0, -12, 8, 12
-8,6:-4, 0, 8, 12, -12
-8,6:-4, 0, 8, 12, -10
-8,6:-4, 0, 8, 12, -8
-1,-1:-4, 4, -2, -14, -12
-1,-1:-4, 4, -2, -14, -6
-1,-1:-4, 4, -2, -12, -14
6,-5:-4, 4, -2, -12, 0
2,2:6, -4, -4, -6, -14
11,2:6, -4, -4, 2, 2
2,2:6, -4, -4, 4, -14
-4,5:6, 6, -4, 2, 4
-4,5:6, 6, -4, 2, 14
