1,2:6
3,3:6, -4
-8,7:-4, -14, -8
-8,7:-4, -14, -6
-8,7:-4, -14, -4
12,5:-4, -14, 14
12,5:-4, -14, 16
12,5:-4, -14, 18
4,5:6, -4, 6
-8,7:-4, -14, -12, -10
-8,7:-4, -14, -12, -8
-8,7:-4, -14, -12, -6
14,6:-4, -14, -12, 14
14,6:-4, -14, -12, 16
14,6:-4, -14, -12, 18
-6,8:-4, -14, -8, 10
-6,8:-4, -14, 10, -8
-6,8:-4, -14, 10, -6
-6,8:-4, -14, 10, -4
12,5:-4, -14, 10, 12
12,5:-4, -14, 10, 14
12,5:-4, -14, 10, 16
14,6:-4, -14, 14, -12
5,-6:-4, -12, -4, -8
-2,1:-4, -6, -14, -2
1,-3:-4, -6, -4, -6
6,6:6, -4, 6, -4
6,14:6, 6, 16, -16
6,14:6, 6, 16, -14
6,14:6, 6, 16, -12
8,-6:6, 6, 16, 6
8,-6:6, 6, 16, 8
8,-6:6, 6, 16, 10
-8,7:-4, -14, -12, -2, -8
-8,7:-4, -14, -12, -2, -6
-8,7:-4, -14, -12, -2, -4
15,8:-4, -14, -12, -2, 14
15,8:-4, -14, -12, -2, 16
15,8:-4, -14, -12, -2, 18
-6,8:-4, -14, -12, 10, -10
-6,8:-4, -14, -12, 10, -8
-6,8:-4, -14, -12, 10, -6
14,6:-4, -14, -12, 10, 12
14,6:-4, -14, -12, 10, 14
14,6:-4, -14, -12, 10, 16
15,8:-4, -14, -12, 14, -2
-5,10:-4, -14, -8, 10, 20
-5,10:-4, -14, 10, 20, -8
-5,10:-4, -14, 10, 20, -6
-5,10:-4, -14, 10, 20, -4
12,5:-4, -14, 10, 20, 14
12,5:-4, -14, 10, 20, 16
12,5:-4, -14, 10, 20, 18
6,4:-4, -12, -6, -14, 4
7,-5:-4, -12, -4, -8, -16
11,-1:-4, -12, 0, -8, 2
0,2:-4, -6, -14, -2, -2
-6,7:-4, -6, -14, 2, 10
0,4:-4, -6, -14, 6, 4
0,-8:-4, -6, -6, -16, -4
4,-5:-4, -6, -6, -14, 4
4,-5:-4, -6, -6, 4, -14
3,-5:-4, -6, -4, -10, -10
2,-1:-4, -6, -4, -6, 2
4,-1:-4, -6, -4, 0, 0
-14,2:-4, -6, 6, -2, -14
-14,2:-4, -6, 6, -2, -6
0,4:-4, -6, 6, 4, -14
0,4:-4, -6, 6, 4, -4
11,14:-4, -4, -14, 4, -4
11,14:-4, -4, 4, -4, -4
7,8:-4, 0, -12, -10, 2
7,8:-4, 0, -12, 2, -10
7,8:-4, 0, -12, 2, -6
4,-6:-4, 0, -2, -4, 8
4,-6:-4, 0, -2, 8, -4
12,1:-4, 0, 0, 10, 12
4,-6:-4, 0, 4, -4, 10
4,-8:-4, 0, 4, 6, -14
12,1:-4, 0, 6, -2, 10
4,12:-4, 0, 6, -2, 14
12,1:-4, 0, 8, 12, 10
12,1:-4, 0, 8, 12, 14
7,-8:-4, 4, -10, -2, -14
10,-2:-4, 4, -10, 2, -4
9,-1:-4, 4, -8, -12, 2
9,-1:-4, 4, -8, 2, -12
-5,10:6, -4, -4, -14, -8
-5,10:6, -4, -4, -14, -6
-5,10:6, -4, -4, -14, -4
15,8:6, -4, -4, -14, 14
15,8:6, -4, -4, -14, 16
15,8:6, -4, -4, -14, 18
7,8:6, -4, 6, -4, 6
2,0:6, 6, -2, 16, 4
-2,3:6, 6, 8, 6, 8
-5,7:6, 6, 14, 6, 10
7,16:6, 6, 16, -16, 14
6,14:6, 6, 16, -8, -14
6,14:6, 6, 16, -8, -12
6,14:6, 6, 16, -8, -10
9,-4:6, 6, 16, -8, 6
9,-4:6, 6, 16, -8, 8
9,-4:6, 6, 16, -8, 10
9,-4:6, 6, 16, 6, -8
7,16:6, 6, 16, 14, -16
7,16:6, 6, 16, 14, -14
7,16:6, 6, 16, 14, -12
8,-6:6, 6, 16, 14, 8
8,-6:6, 6, 16, 14, 10
8,-6:6, 6, 16, 14, 12
