4,-6:-4, 0, -2, 8
4,-6:-4, 0, 2, -8
4,-6:-4, 0, 4, 10
4,-11:-4, -6, -8, -2, -20
4,-6:-4, 0, -16, 4, 2
4,-6:-4, 0, -12, -4, -2
4,-6:-4, 0, -12, 2, 0
4,-6:-4, 0, -12, 2, 2
4,-6:-4, 0, -12, 2, 4
4,-6:-4, 0, -12, 4, -2
4,-6:-4, 0, -12, 4, 8
4,-6:-4, 0, -12, 6, 6
4,-6:-4, 0, -8, 8, 4
4,-6:-4, 0, -4, -2, -12
4,-6:-4, 0, -4, -2, -10
4,-6:-4, 0, -4, -2, -8
4,-6:-4, 0, -2, 4, 10
4,-6:-4, 0, -2, 6, 2
4,-6:-4, 0, -2, 6, 4
4,-6:-4, 0, 2, -4, -6
4,-6:-4, 0, 2, -2, -12
4,-6:-4, 0, 6, 4, -8
4,-6:-4, 0, 8, 4, -8
-5,6:6, 6, 2, -2, -8
-5,6:6, 6, 2, 0, 10
-5,6:6, 6, 2, 4, -6
