-4,6:-4, 0, -12, -12, 8, 4
2,-5:-4, 2, 6, 2, -2, 10
8,-10:-4, 2, 6, 2, 0, -10
11,-5:-4, -12, -8, -4, -4, -2, -4
13,-2:-4, -6, -8, -10, -20, -10, -2
13,-2:-4, -6, -8, -10, -20, -10, 0
13,-2:-4, -6, -8, -10, -20, -10, 2
13,-2:-4, -6, -8, -10, -10, -2, -20
13,-2:-4, -4, -8, -10, -20, -10, -18
13,-2:-4, -4, -8, -10, -20, -10, -14
-2,10:-4, -4, -8, -2, -12, -16, -6
-2,10:-4, -4, -8, -2, -12, -16, -4
-2,10:-4, -4, -8, -2, -12, -16, -2
-2,10:-4, -4, -8, -2, -12, -10, -12
-2,10:-4, -4, -8, -2, -12, -10, -10
-2,10:-4, -4, -8, -2, -12, -10, -8
-2,10:-4, -4, -8, -2, -12, -6, -16
-2,10:-4, -4, -8, -2, -12, -6, -14
-2,10:-4, -4, -8, -2, -12, -6, -12
15,-9:-4, 0, -12, 0, -8, 2, -12
7,2:-4, 2, 6, -14, -18, -18, 4
7,2:-4, 2, 6, -14, -18, 4, -18
7,2:-4, 2, 6, -14, -18, 4, -16
7,2:-4, 2, 6, -14, -18, 4, -14
2,-5:-4, 2, 6, 2, -2, 6, 12
2,-5:-4, 2, 6, 2, -2, 8, 4
2,-5:-4, 2, 6, 2, -2, 8, 6
4,0:-4, 2, 6, 2, 6, 6, -8
16,-17:-4, 4, -4, -26, -14, -24, -34
-8,9:6, 6, -4, -4, 0, 0, 12
-3,3:6, 6, -4, -4, 0, 4, -8
8,-3:6, 6, 2, -6, 12, 14, -2
-14,6:-4, -12, -6, -16, -8, -8, 0, 6
-7,8:-4, -12, -6, -4, -4, 0, 6, 4
1,5:-4, -12, -6, -2, -4, -6, 4, -10
1,5:-4, -12, -6, -2, -4, -6, 4, -8
1,5:-4, -12, -6, -2, -4, -6, 4, -6
0,5:-4, -12, 0, -4, -10, -8, -10, 0
9,-11:-4, -6, -8, -16, -28, -28, -8, -26
9,-11:-4, -6, -8, -16, -26, -28, -26, -8
13,-2:-4, -6, -8, -10, -20, -10, -6, -4
13,-2:-4, -6, -8, -10, -20, -10, -6, -2
13,-2:-4, -6, -8, -10, -20, -10, -6, 0
-3,-5:-4, -6, -6, -14, 2, 2, 6, -12
-3,-5:-4, -6, -6, -14, 2, 2, 6, -10
0,17:-4, -6, -6, 2, -10, 4, 22, 18
6,-7:-4, -6, -6, 2, -4, -4, -6, 0
6,-7:-4, -6, -6, 2, -4, -4, 0, -6
6,-7:-4, -6, -6, 2, 6, -2, -2, 0
6,-7:-4, -6, -6, 2, 6, -2, -2, 2
9,0:-4, -6, 6, -8, 0, -12, -20, 4
9,0:-4, -6, 6, -8, 0, -12, 4, -20
-1,6:-4, -6, 6, 0, -2, -30, -4, 0
-4,-9:-4, -6, 6, 4, -8, -16, -14, -14
-4,-9:-4, -6, 6, 4, -8, -16, -14, -10
-5,12:-4, -6, 6, 10, 12, 4, 10, 4
14,-15:-4, -4, -8, -18, 8, -6, -18, -18
11,13:-4, -4, -8, -12, -14, -6, 2, 6
10,16:-4, -4, -8, -12, -10, -8, -24, -18
10,16:-4, -4, -8, -12, -10, -8, -24, -8
10,16:-4, -4, -8, -12, -10, -8, -18, -24
10,16:-4, -4, -8, -12, -10, -8, -18, -14
10,16:-4, -4, -8, -12, -10, -8, -10, -22
10,16:-4, -4, -8, -12, -10, -8, -10, -20
10,16:-4, -4, -8, -12, -10, -8, -10, -18
18,4:-4, -4, -8, -12, -8, -12, -8, 6
18,4:-4, -4, -8, -12, -8, -12, -8, 8
18,4:-4, -4, -8, -12, -8, -12, -8, 10
18,4:-4, -4, -8, -12, -8, -12, 6, -8
11,13:-4, -4, -8, -12, -6, 2, 6, -14
13,-2:-4, -4, -8, -10, -20, -10, -16, -12
13,-2:-4, -4, -8, -10, -20, -10, -16, -10
13,-2:-4, -4, -8, -10, -20, -10, -16, -8
13,-2:-4, -4, -8, -10, -20, -10, -12, -12
-2,10:-4, -4, -8, -2, -12, -16, -10, -8
-2,10:-4, -4, -8, -2, -12, -16, -10, -6
-2,10:-4, -4, -8, -2, -12, -16, -10, -4
