-4,-6:-4, -6, -6, 2, 8, -10, -18, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -6
-4,-6:-4, -6, -6, 2, 8, -10, -8, -18
-4,-6:-4, -6, -6, 2, 8, -10, -8, -14
5,8:-4, 0, 0, 10, -2, 16, 6, 2
-3,6:6, 6, 6, -6, 10, 8, -6, -2
-3,6:6, 6, 6, -6, 10, 8, -6, 2
-3,6:6, 6, 6, -6, 10, 8, 2, -6
-3,6:6, 6, 6, -6, 10, 8, 2, -4
-3,6:6, 6, 6, -6, 10, 8, 2, -2
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -10
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -6
2,-2:-4, -6, -6, -4, 10, 8, 16, 14, -4
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -10
-4,-6:-4, -6, -6, 2, 8, -10, -20, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -10
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -6
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -24
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -22
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -14
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 0
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 2
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -10
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -6
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -10
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -8
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -6
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -38
11,9:6, 6, 6, -6, -8, -12, 6, -6, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -8
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 6
-12,11:-4, -14, -8, 20, 20, 8, 24, 22, 8, 12
-12,11:-4, -14, -8, 20, 20, 8, 24, 22, 8, 16
-12,11:-4, -14, -8, 20, 20, 8, 24, 22, 16, 8
-12,11:-4, -14, -8, 20, 20, 8, 24, 22, 16, 10
-12,11:-4, -14, -8, 20, 20, 8, 24, 22, 16, 12
8,9:-4, -14, 14, -2, -2, -14, 2, 0, -14, -10
8,9:-4, -14, 14, -2, -2, -14, 2, 0, -14, -6
8,9:-4, -14, 14, -2, -2, -14, 2, 0, -6, -14
8,9:-4, -14, 14, -2, -2, -14, 2, 0, -6, -12
8,9:-4, -14, 14, -2, -2, -14, 2, 0, -6, -10
3,6:-4, -12, -14, -4, -4, 0, 0, 4, -6, -2
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -8, -4
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -8, -2
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -4, -4
2,-2:-4, -6, -6, -4, 10, 8, 16, 20, -4, 22
-4,-6:-4, -6, -6, 2, 8, -10, -24, -24, -26, -10
-4,-6:-4, -6, -6, 2, 8, -10, -24, -24, -8, -16
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -8, -24
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -8, -22
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -24, -18, -8, -30
-4,-6:-4, -6, -6, 2, 8, -10, -24, -18, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -24, -12, -10, -22
-4,-6:-4, -6, -6, 2, 8, -10, -20, -28, -8, -34
-4,-6:-4, -6, -6, 2, 8, -10, -20, -28, -8, -32
-4,-6:-4, -6, -6, 2, 8, -10, -20, -28, -8, -30
-4,-6:-4, -6, -6, 2, 8, -10, -16, -16, -8, -22
-4,-6:-4, -6, -6, 2, 8, -10, -16, -16, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -16, -16, -8, -18
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -12, -16
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -12, -12
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -8, -20
-6,2:-4, -6, 6, 10, -6, 0, 0, -14, 2, 2
8,15:-4, -4, -14, 2, -6, 8, 4, 4, 8, -4
8,15:-4, -4, -14, 2, -6, 8, 4, 4, 8, 0
6,10:-4, -4, -14, 8, 4, 10, 14, -4, -4, 10
6,10:-4, -4, -14, 8, 4, 10, 14, -4, -4, 14
6,10:-4, -4, -14, 8, 4, 10, 14, -4, 10, -4
2,-8:-4, -4, -4, 12, -2, 10, -10, -22, -18, -4
2,-8:-4, -4, -4, 12, -2, 10, -10, -22, -18, 0
2,-8:-4, -4, -4, 12, -2, 10, -10, -22, -4, -18
2,8:-4, 0, -12, -10, -4, 10, 6, 6, 8, -6
2,8:-4, 0, -12, -10, -4, 10, 6, 6, 8, -4
2,8:-4, 0, -12, -10, -4, 10, 6, 6, 8, -2
4,9:-4, 0, -12, -10, 0, -8, 6, 2, 2, 6
4,9:-4, 0, -12, 0, -8, 6, 2, 2, 6, -10
