4,16:-4, 0, 0, 10, 8, 6, -4
4,16:-4, 0, 0, 10, 8, 6, -2
4,16:-4, 0, 0, 10, 8, 6, 0
4,16:-4, 0, 0, 10, 8, 6, 4, -2
4,16:-4, 0, 0, 10, 8, 6, 4, 0
4,16:-4, 0, 0, 10, 8, 6, 4, 2
4,16:-4, 0, 0, 10, 8, 6, -6, -8, 0
4,16:-4, 0, 0, 10, 8, 6, 4, -6, -4
4,16:-4, 0, 0, 10, 8, 6, 4, -6, -2
4,16:-4, 0, 0, 10, 8, 6, 4, -6, 0
7,19:6, -4, -4, 0, 0, 10, 8, 6, -4
7,19:6, -4, -4, 0, 0, 10, 8, 6, -2
7,19:6, -4, -4, 0, 0, 10, 8, 6, 0
6,12:-4, -6, 0, -8, -6, -6, 4, 2, 0, -10
6,12:-4, -6, 0, -8, -6, -6, 4, 2, 0, -8
6,12:-4, -6, 0, -8, -6, -6, 4, 2, 0, -6
-2,16:-4, 0, -8, -4, -10, 10, -2, -6, 12, -6
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -16, -6
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -16, -2
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -6, -6
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -6, -4
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -2, -16
4,16:-4, 0, 0, 10, 8, 6, -6, -8, -2, -6
4,16:-4, 0, 0, 10, 8, 6, -6, 0, 0, -14
4,16:-4, 0, 0, 10, 8, 6, -6, 0, 0, -4
4,16:-4, 0, 0, 10, 8, 6, 4, -6, 4, -2
4,16:-4, 0, 0, 10, 8, 6, 4, -6, 4, 0
4,16:-4, 0, 0, 10, 8, 6, 4, -6, 4, 2
2,20:-4, 2, 6, 0, 8, -10, -10, 6, 2, 2
2,20:-4, 2, 6, 0, 8, -10, -10, 6, 2, 4
2,20:-4, 2, 6, 0, 8, -10, -10, 6, 2, 6
-2,8:-4, 4, -8, -6, 6, 0, 6, 8, 0, -12
-2,8:-4, 4, -8, -6, 6, 0, 6, 8, 0, -10
-2,8:-4, 4, -8, -6, 6, 0, 6, 8, 0, -8
7,19:6, -4, -4, 0, 0, 10, 8, 6, 4, -2
7,19:6, -4, -4, 0, 0, 10, 8, 6, 4, 0
7,19:6, -4, -4, 0, 0, 10, 8, 6, 4, 2
