7,-7:-4, -6, -6, 2, -10, 6, -2, -12, -12
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 4
5,-7:-4, 0, 4, -6, -10, -16, -16, -6, -26
5,-7:-4, 0, 4, -6, -10, -16, -16, -6, -22
5,-7:-4, 0, 4, -6, -10, -16, -16, -6, -16
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 0, 0
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 0, 2
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 0, 4
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 6, -4
7,-7:-4, -6, -6, 2, 8, -10, -12, -12, 6, 6
8,11:-4, -4, -2, 4, -10, -6, -4, -4, 0, 0
0,15:-4, 0, -12, -10, -6, 10, 14, 6, -6, 4
0,15:-4, 0, -12, -10, -6, 10, 14, 6, -6, 6
0,15:-4, 0, -12, -10, -6, 10, 14, 6, -6, 8
0,15:-4, 0, -12, -10, -6, 10, 14, 6, 8, -6
0,15:-4, 0, -12, -10, -6, 10, 14, 6, 8, 4
16,-2:-4, 0, -8, -2, -14, -14, -20, -14, -8, -8
16,-2:-4, 0, -8, -2, -14, -14, -20, -14, -8, -6
-4,-5:-4, 0, -2, 4, 8, 8, -2, -4, 6, 4
-4,-5:-4, 0, -2, 4, 8, 8, -2, -4, 6, 6
-4,-5:-4, 0, -2, 4, 8, 8, -2, -4, 6, 8
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 2, 8
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 2, 10
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 2, 12
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 12, 2
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 12, 4
1,-6:-4, 0, 4, -4, 4, -6, 0, 10, 12, 6
1,-3:-4, 0, 4, 4, 0, 0, 6, -4, 0, 6
9,1:-4, 0, 8, -6, -14, -16, 2, -12, -4, -6
4,-2:-4, 2, 6, -8, -2, -16, -16, -14, 0, 6
4,-2:-4, 2, 6, -8, -2, -16, -16, -14, 4, 2
4,-2:-4, 2, 6, -8, -2, -16, -16, -14, 4, 4
8,18:-4, 4, 4, -6, -14, 2, 4, 22, 12, 12
