6,10:-4, 0, -4, 8, -6, -4, -10, -10, 2
6,10:-4, 0, -4, 8, -6, -4, -10, 2, -10
6,10:-4, 0, -4, 8, -6, -4, -10, 2, -6
6,10:-4, 0, -4, 8, -6, -4, -10, 2, -4, -12
6,10:-4, 0, -4, 8, -6, -4, -10, 2, -4, -10
6,10:-4, 0, -4, 8, -6, -4, -10, 2, -4, -8
6,10:-4, 0, -4, 8, -6, -4, 2, -12, -6, -12
6,10:-4, 0, -4, 8, -6, -4, 2, -8, -6, -16
6,10:-4, 0, -4, 8, -6, -4, 2, -8, -6, -14
6,10:-4, 0, -4, 8, -6, -4, 2, -8, -6, -12
14,5:6, 6, 2, -6, 6, 8, 6, 0, 8, 8
14,5:6, 6, 2, -6, 6, 8, 6, 0, 8, 12
14,5:6, 6, 2, -6, 6, 8, 6, 12, 12, 0
