13,-4:-4, 0, 6, -6, -6, -6, -18, 10, -4
13,-4:-4, 0, 6, -6, -6, -6, -18, 10, 6
5,-3:-4, -12, -8, -14, 0, -20, -14, -10, -18, 2
5,-3:-4, -12, -8, -14, 0, -20, -14, -10, 2, -18
12,3:-4, -4, -8, -12, -14, -10, 4, 8, 2, 0
12,3:-4, -4, -8, -12, -10, 4, 8, 2, 0, -14
2,10:-4, -4, -8, -10, -20, -2, 8, 12, -8, -18
2,10:-4, -4, -8, -10, -2, 8, 12, -8, -18, -20
2,10:-4, -4, -8, -10, -2, 8, 12, -8, -18, -10
-3,10:-4, 0, -12, 0, 6, 10, 6, 12, 10, 0
-2,0:-4, 2, 0, -8, -4, -2, -8, 10, 6, -8
10,5:-4, 2, 6, -8, 10, -6, 16, 6, 6, 6
4,10:-4, 2, 6, 0, 4, 6, 14, 16, 4, -4
9,-1:-4, 4, -10, -6, -2, -4, 6, 0, 4, 10
9,-1:-4, 4, -10, -6, -2, -4, 6, 0, 4, 14
15,-5:-4, 4, -8, -14, -18, -14, -6, 4, -6, -20
-2,14:6, 6, 2, -4, 8, 8, 8, 20, -8, -4
-2,14:6, 6, 2, -4, 8, 8, 8, 20, -8, 6
