7,-9:-4, 4, -4, -18, -24, -24, -30, -18
-7,-7:-4, -6, -6, -14, -14, -2, -8, 0, 6
-7,-7:-4, -6, -6, -14, -14, -2, -2, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, 10, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, 10, 6, 2
-14,9:-4, -6, -6, -4, -2, 6, 6, 22, 16
-14,9:-4, -6, -6, -4, -2, 6, 22, 16, 0
-14,9:-4, -6, -6, -4, -2, 6, 22, 16, 6
4,13:-4, -4, -8, -18, -20, -2, -6, -2, -2
-7,8:6, 6, -2, 6, 20, 26, 26, 32, 20
12,2:-4, -12, 0, -10, -2, 4, -4, 0, 4, 2
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -12
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -2
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -20
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -10
10,-1:-4, -12, 4, 4, -6, -8, -10, -8, -2, -20
-2,7:-4, -6, -14, 2, 4, -2, 12, 6, 2, -2
3,2:-4, -6, -14, 2, 4, -2, 12, 6, 2, 8
11,6:-4, -6, -14, 6, -4, 6, 0, 0, 12, 4
-4,0:-4, -6, -6, -16, -6, 2, 8, 0, 4, -2
1,-5:-4, -6, -6, -16, -6, 2, 8, 0, 4, 8
-7,-7:-4, -6, -6, -14, -14, -2, -10, -16, 6, -10
-7,-7:-4, -6, -6, -14, -14, -2, -10, -16, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, -10, -12, 6, -4
-7,-7:-4, -6, -6, -14, -14, -2, -10, -8, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, -10, -8, 6, -6
-7,-7:-4, -6, -6, -14, -14, -2, -10, -8, 6, -4
-7,-7:-4, -6, -6, -14, -14, -2, -10, 6, 2, -2
-7,-7:-4, -6, -6, -14, -14, -2, -4, -6, 6, -10
-7,-7:-4, -6, -6, -14, -14, -2, -4, -6, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, -4, 14, 6, -14
-7,-7:-4, -6, -6, -14, -14, -2, -4, 14, 6, -10
-7,-7:-4, -6, -6, -14, -14, -2, -2, -4, 6, -4
-7,-7:-4, -6, -6, -14, -14, -2, -2, -4, 6, -2
-7,-7:-4, -6, -6, -14, -14, -2, -2, -4, 6, 0
-7,-7:-4, -6, -6, -14, -14, -2, -2, 6, 2, -14
-7,-7:-4, -6, -6, -14, -14, -2, -2, 6, 2, -4
-14,9:-4, -6, -6, -4, -2, 2, 2, 22, 16, -2
-14,9:-4, -6, -6, -4, -2, 2, 2, 22, 16, 0
-14,9:-4, -6, -6, -4, -2, 2, 2, 22, 16, 2
-14,9:-4, -6, -6, -4, -2, 2, 6, 22, 16, -2
-14,9:-4, -6, -6, -4, -2, 2, 6, 22, 16, 0
-14,9:-4, -6, -6, -4, -2, 2, 6, 22, 16, 2
2,7:-4, -6, -6, -4, 10, -4, -8, 0, -2, -6
