9,17:-4, -4, -14, -4, 10, -2, 10, -4
9,17:-4, -4, -14, -4, 10, -2, 10, 0
5,11:-4, 0, -12, -10, -6, 8, -4, 8
5,11:-4, 0, -12, -6, 8, -4, 8, -8
5,11:-4, 0, -12, -6, 8, -4, 8, -6
5,11:-4, 0, -12, -6, 8, -4, 8, -4
14,-10:-4, -12, -8, -14, -8, -14, -14, -14, 6
9,17:-4, -4, -14, -4, 10, -2, 10, -2, 2
9,17:-4, -4, -14, -4, 10, -2, 10, 2, 2
9,17:-4, -4, -8, -20, -16, -4, 10, -2, 10
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -10
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -8
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -6
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, 2
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, 4
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -14
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -12
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -10
-8,-3:-4, 0, -12, 8, 8, 20, 20, 2, -18
12,6:-4, 2, 6, -14, -2, 0, 6, 8, 8
3,21:6, 6, 6, -4, -4, -10, 2, -4, 4
-3,0:6, 6, 8, -4, 2, 10, 18, -20, 0
-3,0:6, 6, 8, -4, 2, 10, 18, -20, 2
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -16
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -14
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -12
-3,0:6, 6, 8, -4, 2, 10, 18, 0, -20
-5,21:-4, -12, -6, -14, -2, 6, -2, 10, 6, 12
23,15:-4, -12, 0, -2, 4, 2, 6, 2, -6, 2
5,15:-4, -6, -14, 2, 4, 2, -2, 12, 0, 12
12,8:-4, -6, -6, -16, 2, 8, 6, 10, -2, 6
0,6:-4, -6, -6, 0, 2, 2, 2, -6, -8, -18
0,6:-4, -6, -6, 0, 2, 2, 2, -6, -8, -16
0,6:-4, -6, -6, 0, 2, 2, 2, -6, -8, -14
9,17:-4, -4, -14, -4, 10, -2, 10, -2, -2, 0
9,17:-4, -4, -14, -4, 10, -2, 10, -2, -2, 2
5,7:-4, -4, -14, 8, 10, 6, 16, 10, -4, 16
5,7:-4, -4, -14, 8, 10, 6, 16, 10, -4, 20
5,7:-4, -4, -14, 8, 10, 6, 16, 10, 16, -4
9,17:-4, -4, -8, -18, -20, -4, 10, -2, 10, -4
9,17:-4, -4, -8, -18, -20, -4, 10, -2, 10, 0
15,-2:-4, -4, -8, -12, -12, 0, 6, -12, -14, -22
11,7:-4, -4, 6, 6, -4, 0, 10, 8, -20, -10
5,7:-4, -4, 8, 10, 6, 16, 10, -4, 16, -4
1,1:-4, 0, -12, -10, 6, 8, 4, 14, 8, 14
1,1:-4, 0, -12, -10, 6, 8, 4, 14, 8, 18
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -2, -8
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -2, -6
5,11:-4, 0, -12, -6, 8, -4, 8, -12, -2, -4
5,11:-4, 0, -12, -6, 8, -4, 8, -2, 0, -8
2,4:-4, 0, -12, 6, 2, -8, -10, 4, -8, 4
1,1:-4, 0, -12, 6, 8, 4, 14, 8, 14, -10
1,1:-4, 0, -12, 6, 8, 4, 14, 8, 14, -6
-8,-3:-4, 0, -12, 8, 8, 20, 20, -22, 2, -16
-8,-3:-4, 0, -12, 8, 8, 20, 20, -20, 2, -24
-8,-3:-4, 0, -12, 8, 8, 20, 20, -20, 2, -22
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, -8, -2
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, -2, -10
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, -2, -8
-8,-3:-4, 0, -12, 8, 8, 20, 20, -18, -2, -6
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -6, -12
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -6, -10
-8,-3:-4, 0, -12, 8, 8, 20, 20, -10, -6, -8
-8,-3:-4, 0, -12, 8, 8, 20, 20, -2, -10, -16
-8,-3:-4, 0, -12, 8, 8, 20, 20, -2, -10, -14
-12,10:-4, 0, -8, -10, 0, 4, 6, 0, 6, 16
-11,15:-4, 0, -8, -10, 0, 20, 28, 24, 26, 22
17,3:-4, 0, -4, 8, 12, 4, 12, 14, 0, -8
4,11:-4, 0, -2, -4, -4, 4, 0, 4, -10, 2
4,11:-4, 0, -2, -4, -4, 4, 0, 4, -10, 4
4,11:-4, 0, -2, -4, -4, 4, 0, 4, 4, -10
4,11:-4, 0, -2, -4, -4, 4, 0, 4, 4, -8
20,14:-4, 0, 6, -6, -14, -18, -4, 2, -16, -4
3,3:-4, 0, 6, 4, -6, 8, 10, -14, -18, -16
3,3:-4, 0, 6, 4, -6, 8, 10, -14, -14, -14
18,15:-4, 0, 8, -2, -24, -10, -16, -8, -16, -14
13,-1:-4, 2, 0, -8, -6, -18, -8, -2, -4, 10
13,-1:-4, 2, 0, -8, -6, -18, -8, -2, -4, 12
13,-1:-4, 2, 0, -8, -6, -18, -8, -2, -4, 14
13,-1:-4, 2, 0, -8, -6, -8, -2, -4, 10, -18
16,7:-4, 2, 6, -14, 2, -12, -20, -12, 0, 0
11,1:-4, 2, 6, 2, -8, -22, -8, -20, -2, -8
-1,15:-4, 4, -2, -14, 6, 6, 4, -8, -2, 10
-1,15:-4, 4, -2, -14, 6, 6, 4, -8, 2, 10
-1,15:-4, 4, -2, -14, 6, 6, 4, -8, 10, 2
-1,15:-4, 4, -2, -14, 6, 6, 4, -8, 10, 4
-1,15:-4, 4, -2, -14, 6, 6, 4, -8, 10, 6
-1,15:-4, 4, -2, -14, 6, 6, 4, 2, 10, -8
-1,15:-4, 4, -2, -14, 6, 6, 4, 2, 10, -6
-1,15:-4, 4, -2, -14, 6, 6, 4, 2, 10, -4
3,9:-4, 4, -2, 2, 6, -16, -6, 8, -4, 8
12,20:6, -4, -4, -4, -14, -4, 10, -2, 10, -4
12,20:6, -4, -4, -4, -14, -4, 10, -2, 10, 0
8,14:6, -4, -4, 0, -12, -10, -6, 8, -4, 8
8,14:6, -4, -4, 0, -12, -6, 8, -4, 8, -8
8,14:6, -4, -4, 0, -12, -6, 8, -4, 8, -6
8,14:6, -4, -4, 0, -12, -6, 8, -4, 8, -4
14,-4:6, 6, -2, -4, 10, -8, 6, 4, -2, 12
-2,9:6, 6, -2, 4, 10, 12, 2, 0, 4, 2
-2,9:6, 6, -2, 4, 10, 12, 2, 0, 4, 8
-2,9:6, 6, -2, 4, 10, 12, 2, 0, 4, 12
-2,9:6, 6, -2, 4, 10, 12, 2, 0, 12, 2
3,21:6, 6, 6, -4, -4, -10, 2, -4, 6, 6
-3,0:6, 6, 8, -4, 2, 10, 18, -24, 0, -18
-3,0:6, 6, 8, -4, 2, 10, 18, -22, 0, -26
-3,0:6, 6, 8, -4, 2, 10, 18, -22, 0, -24
-3,0:6, 6, 8, -4, 2, 10, 18, -20, -10, -4
-3,0:6, 6, 8, -4, 2, 10, 18, -20, -4, -12
-3,0:6, 6, 8, -4, 2, 10, 18, -20, -4, -10
-3,0:6, 6, 8, -4, 2, 10, 18, -20, -4, -8
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -8, -14
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -8, -12
-3,0:6, 6, 8, -4, 2, 10, 18, -12, -8, -10
-3,0:6, 6, 8, -4, 2, 10, 18, -4, -12, -18
-3,0:6, 6, 8, -4, 2, 10, 18, -4, -12, -16
-3,2:6, 6, 14, 6, 6, 6, -4, -12, 8, -8
