11,-1:-4, 0, 10, -2, 0, 14, -2, -22
11,-1:-4, 0, 10, -2, 0, 14, -2, -20
11,-1:-4, 0, 10, -2, 0, 14, -2, -18
8,6:-4, 0, 6, 2, 10, 6, 12, 6, -8
-1,1:-4, -4, -8, -4, 8, 8, -4, -6, -10, 8
-1,1:-4, -4, -8, -4, 8, 8, -4, -6, -10, 10
-1,1:-4, -4, -8, -4, 8, 8, -4, -6, -10, 12
-1,1:-4, -4, -8, -4, 8, 8, -4, -6, 8, -10
-1,1:-4, -4, -8, -4, 8, 8, -4, -6, 8, -8
12,0:-4, -4, -8, 6, -6, -16, -4, 2, -4, -12
8,6:-4, 0, -12, -10, 6, 2, 10, 6, 12, 6
-3,-8:-4, 0, -8, 6, -14, -18, -14, 0, -18, -26
1,-2:-4, 0, -8, 8, 10, 12, 2, 0, 4, -10
1,-2:-4, 0, -8, 8, 10, 12, 2, 0, 4, -2
9,5:-4, 0, 0, -6, 0, 4, -4, 4, 2, -6
9,5:-4, 0, 0, -6, 0, 4, -4, 4, 2, -4
6,-1:-4, 0, 4, -4, 2, -10, -10, -10, -12, 8
8,6:-4, 0, 6, 2, 10, 6, 12, 6, -12, -10
8,6:-4, 0, 6, 2, 10, 6, 12, 6, -12, -8
11,-1:-4, 0, 10, -2, 0, 14, -2, -24, -26, -18
14,-12:-4, 2, 6, -8, -4, 2, -4, -10, -16, -4
3,2:-4, 4, -10, -8, -16, -18, -18, -10, -6, -2
9,0:-4, 4, -10, -6, -4, -2, 6, 4, -8, 4
9,0:-4, 4, -10, -6, -4, -2, 6, 4, -8, 6
14,2:6, -4, -4, 0, 10, -2, 0, 14, -2, -22
14,2:6, -4, -4, 0, 10, -2, 0, 14, -2, -20
14,2:6, -4, -4, 0, 10, -2, 0, 14, -2, -18
