18,5:6, 6, 2, 2, -8, -6, -4, 2
18,5:6, 6, 2, 2, -8, -6, -4, 4
18,5:6, 6, 2, 2, -8, -6, -4, 6
18,5:6, 6, 2, 2, -8, -6, -4, -2, 0
18,5:6, 6, 2, 2, -8, -6, -4, -2, 2
18,5:6, 6, 2, 2, -8, -6, -4, -2, 4
9,10:-4, -14, -8, 20, 16, 16, 6, 8, 10, 16
9,10:-4, -14, -8, 20, 16, 16, 6, 8, 10, 18
9,10:-4, -14, -8, 20, 16, 16, 6, 8, 10, 20
29,8:-4, -14, 14, -2, -6, -6, -16, -14, -12, -6
29,8:-4, -14, 14, -2, -6, -6, -16, -14, -12, -4
29,8:-4, -14, 14, -2, -6, -6, -16, -14, -12, -2
9,2:-4, -12, -4, 6, -10, 2, 6, 16, 18, 4
4,-17:-4, 0, -8, 6, -14, -22, -18, -16, -12, -6
4,-17:-4, 0, -8, 6, -14, -22, -18, -16, -12, -4
4,-17:-4, 0, -8, 6, -14, -22, -18, -16, -12, -2
26,1:-4, 2, 2, -8, -10, -10, -20, -18, -16, -10
26,1:-4, 2, 2, -8, -10, -10, -20, -18, -16, -8
26,1:-4, 2, 2, -8, -10, -10, -20, -18, -16, -6
21,8:6, -4, 6, 6, 2, 2, -8, -6, -4, 2
21,8:6, -4, 6, 6, 2, 2, -8, -6, -4, 4
21,8:6, -4, 6, 6, 2, 2, -8, -6, -4, 6
18,5:6, 6, 2, 2, -8, -6, -4, -2, 8, 2
18,5:6, 6, 2, 2, -8, -6, -4, -2, 8, 4
18,5:6, 6, 2, 2, -8, -6, -4, -2, 8, 6
18,5:6, 6, 2, 2, -8, -6, -4, 8, 10, 2
