8,21:-4, 0, 0, 10, -2, 12, 6, 0, -4
8,21:-4, 0, 0, 10, -2, 12, 6, 0, -2
19,4:-4, 4, -10, 0, -14, -4, 0, 0, -8
24,1:-4, -12, -14, -4, -6, -4, -6, -12, -12, -10
2,3:-4, -12, -8, -14, -6, -20, -8, -8, -12, -2
9,-3:-4, -6, -8, -6, -16, -32, -12, -6, -8, -26
21,-2:-4, -6, -6, 0, -8, -16, -6, 2, -12, -12
21,-2:-4, -6, -6, 0, -8, -16, -6, 2, -12, -10
21,-2:-4, -6, -6, 0, -8, -16, -6, 2, -12, -8
-4,-16:-4, -6, -6, 0, -6, -4, 4, -12, 4, 22
-4,-16:-4, -6, -6, 0, -6, -4, 4, -12, 4, 26
-4,-16:-4, -6, -6, 0, -6, -4, 4, -12, 6, 10
-4,-16:-4, -6, -6, 0, -6, -4, 4, 4, 22, -12
24,9:-4, -4, -8, -12, -14, -8, 14, -4, -4, -2
24,9:-4, -4, -8, -12, -8, 14, -4, -4, 2, 2
3,8:-4, -4, -8, -2, -12, 18, -8, 6, -6, 16
3,8:-4, -4, -8, -2, -12, 18, -8, 6, 2, 16
0,11:-4, 0, -16, -6, -6, -4, 8, 6, -8, -2
3,1:-4, 0, -16, 4, 4, 6, 12, 8, -2, 2
3,1:-4, 0, -16, 4, 4, 6, 12, 8, -2, 4
3,1:-4, 0, -16, 4, 4, 6, 12, 8, -2, 6
5,-8:-4, 0, -12, -6, 8, 12, -6, -12, -12, -10
0,7:-4, 0, -8, -4, -10, -16, -2, 10, 12, 2
0,7:-4, 0, -8, -4, -10, -2, 10, 12, 2, -16
0,7:-4, 0, -8, -4, -10, -2, 10, 12, 2, -6
6,-11:-4, 0, -8, -2, 8, 12, -10, 0, -6, 4
7,-3:-4, 0, -2, -8, -16, -22, -2, 6, 8, -14
2,3:-4, 0, -2, 4, 2, -4, -4, -4, 2, -4
8,21:-4, 0, 0, 10, -2, 12, 6, 0, 2, 2
8,21:-4, 0, 0, 10, -2, 12, 6, 0, 2, 6
8,21:-4, 0, 0, 10, -2, 12, 6, 0, 4, 2
-9,16:-4, 0, 0, 10, 16, 6, -2, -10, 4, -4
2,14:-4, 0, 8, -6, 6, 8, 10, 20, -12, -8
-10,5:-4, 4, -8, -14, -20, -18, -22, -8, 16, 10
-7,-4:-4, 4, -2, -14, 2, 10, 16, 6, 8, 0
-7,-4:-4, 4, -2, -14, 2, 10, 16, 6, 8, 2
-7,-4:-4, 4, -2, -14, 2, 10, 16, 6, 8, 4
15,6:-4, 4, -2, 2, 4, 10, -4, 4, -2, 6
15,6:-4, 4, -2, 2, 4, 10, -4, 4, 6, -2
15,6:-4, 4, -2, 2, 4, 10, -4, 4, 8, -2
5,21:6, 6, -2, 12, 2, 16, 6, 2, 2, 10
22,10:6, 6, 2, 2, -8, 4, -10, -4, 0, 4
22,10:6, 6, 2, 2, -8, 4, -10, -4, 0, 6
