-10,-1:-4, 0, -2, 4, -14, 6, 6, -2, -4
-10,-1:-4, 0, -2, 4, -14, 6, 6, 0, 2
9,4:-4, 0, 4, -4, 2, 4, 0, 0, 2
9,4:-4, 0, 4, -4, 2, 4, 0, 0, 4
9,4:-4, 0, 4, -4, 2, 4, 0, 0, 6
-13,0:-4, -12, -6, -16, -6, -8, 4, 4, 4, 4
-13,0:-4, -12, -6, -16, -6, -8, 4, 4, 4, 6
-9,-4:-4, -12, -6, -16, -6, -8, 4, 12, 12, 12
-9,-4:-4, -12, -6, -16, -6, -8, 4, 12, 12, 14
-9,-4:-4, -12, -6, -16, -6, -8, 4, 12, 12, 16
-9,-4:-4, -12, -6, -16, -6, -8, 4, 18, 12, 20
-9,-4:-4, -12, -6, -16, -6, -8, 4, 18, 12, 24
-9,-4:-4, -12, -6, -16, -6, -8, 4, 18, 20, 12
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 0
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 2
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 4
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -16
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -14
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -12
-3,-1:-4, 0, -8, -4, 2, -2, -2, 2, 8, -8
-3,-1:-4, 0, -8, -4, 2, -2, -2, 2, 8, -6
13,-20:-4, 0, -8, 4, 14, -12, -18, -4, -6, -6
13,-20:-4, 0, -8, 4, 14, -12, -18, -2, 2, -10
13,-20:-4, 0, -8, 4, 14, -12, -18, -2, 2, -8
13,-20:-4, 0, -8, 4, 14, -12, -18, -2, 2, -6
13,-20:-4, 0, -8, 4, 14, -12, -18, 2, -10, 2
13,-20:-4, 0, -8, 4, 14, -12, -18, 2, -6, -2
13,-20:-4, 0, -8, 4, 14, -12, -18, 2, -6, 0
13,-20:-4, 0, -8, 4, 14, -12, -4, -6, -6, -18
-10,-1:-4, 0, -2, 4, -14, 6, 6, -4, -4, -4
-10,-1:-4, 0, -2, 4, -14, 6, 6, -4, -4, -2
-10,-1:-4, 0, -2, 4, -14, 6, 6, -4, -4, 0
-10,-1:-4, 0, -2, 4, -14, 6, 6, -4, 0, -2
-10,-1:-4, 0, -2, 4, -14, 6, 6, -4, 0, 0
-10,-1:-4, 0, -2, 4, -14, 6, 6, -2, -8, -2
-10,-1:-4, 0, -2, 4, -14, 6, 6, -2, -6, -10
-10,-1:-4, 0, -2, 4, -14, 6, 6, -2, -6, -8
-7,10:-4, 0, -2, 4, 0, -6, -8, 4, -2, 0
-7,10:-4, 0, -2, 4, 0, -6, -8, 4, -2, 6
-7,10:-4, 0, -2, 4, 0, -6, -8, 4, 0, -2
-7,10:-4, 0, -2, 4, 0, -6, -8, 4, 0, 0
-7,10:-4, 0, -2, 4, 0, -6, -8, 4, 0, 2
14,10:-4, 0, 6, -2, 12, 0, -6, -16, -14, -14
14,10:-4, 0, 6, -2, 12, 0, -6, -16, -14, -12
14,10:-4, 0, 6, -2, 12, 0, -6, -16, -14, -10
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -4
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -2
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, 0
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -20
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -18
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -16
5,11:6, 6, 2, -2, 6, 0, -2, 2, 2, -4
5,11:6, 6, 2, -2, 6, 0, -2, 2, 2, -2
5,11:6, 6, 2, -2, 6, 0, -2, 2, 2, 0
0,-8:6, 6, 2, 4, -2, 16, -4, -4, 2, 0
0,-8:6, 6, 2, 4, -2, 16, -4, -4, 4, 6
