-4,-14:-4, 0, -8, 6, -14, -12, 2
16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
5,0:-4, 0, -16, -4, 0, -4, 6, 4
-13,-2:6, 6, 2, -4, 10, 16, 14, 0
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -6, -4
-9,15:-4, -12, -4, 6, 2, 0, -10, 8, 20
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-1,10:-4, -6, 6, 0, -8, -4, -16, -4, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 0, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 2, 2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 0
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -10
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -8
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -6
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -24
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -22
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -20
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -22
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -12
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 0
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 2
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 4
4,-6:-4, 0, 4, -6, -2, -12, -18, -4, -2
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -6
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -2
4,-6:-4, 0, 4, -6, -2, -12, -6, 0, -18
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -4
15,2:-4, 4, -10, -6, -10, -12, 6, -12, 0
-2,-1:-4, 4, -10, -6, -8, 2, 8, 4, -8
15,2:-4, 4, -10, 0, -6, -10, -12, 6, -12
4,-14:-4, 4, -8, -4, -6, -16, -10, -14, -12
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -10
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -8
4,-13:-4, 4, -8, 0, -2, -18, -16, -10, -32
-1,-11:6, -4, -4, 0, -8, 6, -14, -12, 2
1,7:6, 6, 2, 6, 18, 2, -4, -4, -2
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
-22,3:-4, -14, -8, 20, 16, 10, 24, 30, 28, 14
13,5:-4, -14, 10, 10, 18, 12, 16, 28, 18, 12
13,5:-4, -14, 10, 10, 18, 12, 16, 28, 18, 18
-2,1:-4, -14, 14, -2, -6, -12, 2, 8, 6, -8
17,-3:-4, -12, -14, -4, -6, -20, -18, -4, 0, -6
17,-3:-4, -12, -14, -4, -6, -20, -18, -4, 0, -4
17,-3:-4, -12, -14, -4, -6, -20, -18, -4, 0, -2
14,1:-4, -12, -14, 0, -8, -6, 2, 12, 0, -22
-6,8:-4, -12, -14, 0, -4, -12, -2, 6, 0, -4
-6,8:-4, -12, -14, 0, -4, -12, -2, 6, 0, 6
16,-5:-4, -12, -8, -14, 2, 4, -12, -6, -4, -14
16,-5:-4, -12, -8, -14, 2, 4, -12, -6, -4, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -12, -14, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -6
-9,15:-4, -12, -4, 6, 2, 0, -10, 8, -4, 20
7,5:-4, -12, -4, 6, 16, 2, 14, 8, 18, 2
2,0:-4, -12, 0, -2, -6, -24, -12, -2, 4, -14
2,0:-4, -12, 0, -2, -6, -12, -2, 4, -14, -24
2,0:-4, -12, 0, -2, -6, -12, -2, 4, -14, -22
6,5:-4, -6, -14, 2, 4, 6, 2, 0, 18, 0
-2,-15:-4, -6, -8, -16, -16, -22, -14, -12, 6, -8
12,6:-4, -6, -8, -6, -10, 4, 6, 10, -10, -12
-2,4:-4, -6, -6, -16, 0, 2, 4, -12, 6, 6
-2,-18:-4, -6, 0, -8, -6, -14, 0, -20, -18, -4
4,-3:-4, -6, 6, -8, -12, -24, -8, -10, 0, -24
3,-9:-4, -6, 6, 0, -8, -18, 6, -2, 0, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, -8, -4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, -8, 4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, -6, -4, -4
-1,10:-4, -6, 6, 0, -8, -4, -16, -6, 4, -8
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -4, -4
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -4, 0
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 2, -8
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 2, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 2, 0
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -2, -8
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -2, -6
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -2, -4
27,-11:-4, -6, 6, 10, -6, -16, -4, -4, -2, -10
