5,0:-4, 2, 6, 2, 12, 10, -6, 14
10,-3:-4, -6, -8, -16, -28, -22, 0, -4, -12
5,0:-4, 2, 6, 2, 12, 10, -6, 4, 6
5,0:-4, 2, 6, 2, 12, 10, -6, 4, 8
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 10
13,5:-4, 0, -8, 6, -12, 6, -8, 2, 0, 14
13,5:-4, 0, -8, 6, -12, 6, -8, 2, 14, 0
13,5:-4, 0, -8, 6, -12, 6, -8, 2, 14, 2
5,0:-4, 2, 6, 2, 12, 10, -6, -2, 14, -2
5,0:-4, 2, 6, 2, 12, 10, -6, 4, 12, 6
5,0:-4, 2, 6, 2, 12, 10, -6, 4, 12, 8
5,0:-4, 2, 6, 2, 12, 10, -6, 4, 12, 10
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 6, 4
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 6, 6
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 6, 8
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 8, 10
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 8, 12
5,0:-4, 2, 6, 2, 12, 10, -6, 8, 8, 14
8,3:6, -4, -4, 2, 6, 2, 12, 10, -6, 14
