5,-5:-4, -4, -8, 8, -6, 0, 4
5,-5:-4, -4, -8, 8, -6, 0, 6
5,-5:-4, -4, -8, 8, -6, 0, 8
5,-5:-4, -4, -8, 8, -6, 4, 0
5,-5:-4, -4, -8, 8, -6, 4, 4
5,-5:-4, -4, -8, 8, -6, 0, 12, 6
5,-5:-4, -4, -8, 8, -6, 0, 12, 8
5,-5:-4, -4, -8, 8, -6, 0, 12, 10
5,-5:-4, -4, -8, 8, -6, 4, 2, -4
5,-5:-4, -4, -8, 8, -6, 4, 2, -2
8,9:-4, -4, -4, 8, 10, 14, 8, 8
5,10:-4, -4, -8, -12, -12, 0, -16, -10, -2
5,-5:-4, -4, -8, 8, -6, -6, 12, -2, 6
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, 8
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 4
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 6
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 8
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 12
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 16
5,-5:-4, -4, -8, 8, -6, 2, -4, 12, 12
5,-5:-4, -4, -8, 8, -6, 2, -4, 16, 10
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, -4
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, -2
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, 0
8,9:-4, -4, -4, 8, 10, 14, 8, 10, 10
8,9:-4, -4, -4, 8, 10, 14, 8, 10, 12
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 10
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 12
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 14
3,-5:-4, 0, -12, 10, -2, -14, -12, 4, -8
15,-5:-4, 0, -8, 6, -2, 6, -8, -16, -18
2,3:-4, 0, 6, 8, 4, 8, -6, -8, 12
2,3:-4, 0, 6, 8, 4, 8, -6, -8, 20
2,3:-4, 0, 6, 8, 4, 8, -6, 12, -8
5,5:-4, 4, -8, -16, 6, -10, -18, 12, 16
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 4
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 6
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 8
8,-2:6, -4, -4, -4, -8, 8, -6, 4, 0
8,-2:6, -4, -4, -4, -8, 8, -6, 4, 4
10,6:6, 6, 2, 2, -8, -14, 4, -4, 0
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 16
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 20
-4,-3:6, 6, 8, 8, 0, -6, 12, 16, 8
-4,-3:6, 6, 8, 8, 0, -6, 12, 16, 10
-4,5:-4, -12, -14, -4, 6, -8, 14, 8, 12, 4
-4,5:-4, -12, -14, -4, 6, 14, 8, 12, 4, -8
15,-5:-4, -12, -8, -2, 8, -12, -14, -14, -18, -8
11,-1:-4, -12, -6, -14, 0, -4, -6, -8, -6, -10
7,3:-4, -12, -6, -2, -4, -4, 8, -8, -6, 18
-4,5:-4, -12, -4, 6, -8, 14, 8, 12, 4, -14
-4,5:-4, -12, -4, 6, -8, 14, 8, 12, 4, -4
1,-5:-4, -12, 0, -8, -16, -18, -16, -20, -8, -16
7,-9:-4, -6, 0, -8, -10, -14, 2, -12, -6, -2
7,-9:-4, -6, 0, -8, -10, -14, 2, -12, -6, 0
7,-9:-4, -6, 0, -8, -10, -14, 2, -12, -6, 2
7,-9:-4, -6, 0, -8, -10, -14, 2, -12, -2, -6
7,-9:-4, -6, 0, -8, -10, -14, 2, -12, -2, -2
4,-1:-4, -6, 6, 4, -8, -6, -4, 2, -12, -14
5,10:-4, -4, -8, -12, -12, 0, -16, -10, -6, -8
5,-5:-4, -4, -8, 8, -6, -6, -6, -6, 4, -2
5,-5:-4, -4, -8, 8, -6, -6, -6, -6, 4, 0
5,-5:-4, -4, -8, 8, -6, -6, -6, -6, 4, 2
5,-5:-4, -4, -8, 8, -6, -6, 12, -2, 14, 16
5,-5:-4, -4, -8, 8, -6, -6, 12, -2, 14, 18
5,-5:-4, -4, -8, 8, -6, -6, 12, -2, 14, 20
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, -2, 20
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, -2, 22
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, -2, 24
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, 20, -2
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, 20, 0
5,-5:-4, -4, -8, 8, -6, 0, 2, -8, 20, 2
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, -8, 2
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, -8, 6
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, 2, 2
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, 2, 4
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, 6, -8
5,-5:-4, -4, -8, 8, -6, 0, 2, 0, 6, 2
5,-5:-4, -4, -8, 8, -6, 0, 2, 8, 8, -6
5,-5:-4, -4, -8, 8, -6, 0, 2, 8, 8, 4
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 12, 6
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 12, 8
5,-5:-4, -4, -8, 8, -6, 0, 12, 2, 12, 10
5,-5:-4, -4, -8, 8, -6, 2, -6, 0, 10, 2
5,-5:-4, -4, -8, 8, -6, 2, -6, 0, 10, 4
5,-5:-4, -4, -8, 8, -6, 2, -6, 0, 10, 6
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 14, 18
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 14, 20
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 14, 22
5,-5:-4, -4, -8, 8, -6, 2, -4, 10, 18, 18
5,-5:-4, -4, -8, 8, -6, 2, -4, 12, 18, 16
5,-5:-4, -4, -8, 8, -6, 2, -4, 12, 20, 30
5,-5:-4, -4, -8, 8, -6, 2, -4, 12, 22, 8
5,-5:-4, -4, -8, 8, -6, 2, -4, 14, 16, 22
5,-5:-4, -4, -8, 8, -6, 2, -4, 14, 16, 24
5,-5:-4, -4, -8, 8, -6, 2, -4, 14, 16, 26
5,-5:-4, -4, -8, 8, -6, 2, -4, 14, 22, 16
5,-5:-4, -4, -8, 8, -6, 2, -4, 16, 12, 14
5,-5:-4, -4, -8, 8, -6, 2, -4, 16, 12, 16
5,-5:-4, -4, -8, 8, -6, 2, -4, 16, 14, 8
5,-5:-4, -4, -8, 8, -6, 2, -4, 18, 12, 26
5,-5:-4, -4, -8, 8, -6, 2, -4, 18, 26, 20
5,-5:-4, -4, -8, 8, -6, 2, -4, 18, 26, 22
5,-5:-4, -4, -8, 8, -6, 2, -4, 18, 26, 24
5,-5:-4, -4, -8, 8, -6, 2, -4, 22, 16, 30
5,-5:-4, -4, -8, 8, -6, 2, 0, 0, -8, 4
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, -8, -6
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, -8, -4
5,-5:-4, -4, -8, 8, -6, 4, 2, 2, -8, -2
11,-1:-4, -4, -6, -14, 8, 6, 8, -6, -10, 4
11,-1:-4, -4, -6, -14, 8, 6, 8, -6, -10, 8
8,9:-4, -4, -4, 8, 10, 14, 8, 10, 14, 8
8,9:-4, -4, -4, 8, 10, 14, 8, 10, 14, 10
8,9:-4, -4, -4, 8, 10, 14, 8, 10, 14, 12
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 6, 8
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 6, 10
8,9:-4, -4, -4, 8, 10, 14, 8, 14, 6, 12
2,14:-4, 0, -12, -10, -6, 10, -4, -6, 2, -10
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -12, -4
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -12, -2
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -10, -10
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -10, -8
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -10, -6
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -8, -8
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -8, -6
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -8, -4
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -6, -6
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -6, 0
5,13:-4, 0, -12, -6, 8, 2, -4, -12, -2, -10
5,13:-4, 0, -12, -6, 8, 2, -4, -12, 0, -10
5,13:-4, 0, -12, -6, 8, 2, -4, -12, 0, -8
5,13:-4, 0, -12, -6, 8, 2, -4, -12, 0, -6
27,9:-4, 0, -12, 0, -6, -2, -2, -12, -26, -22
27,9:-4, 0, -12, 0, -6, -2, -2, -12, -26, -20
14,6:-4, 0, -4, 8, -6, 6, 8, -18, -8, -10
9,5:-4, 0, -2, 4, 8, 8, -2, 14, 8, -8
4,-5:-4, 0, 0, 8, 12, 14, -6, 0, -20, 0
4,-5:-4, 0, 0, 8, 12, 14, -6, 0, 0, -20
1,-3:-4, 0, 6, -2, 0, 8, 12, -10, -10, -12
2,3:-4, 0, 6, 8, 4, 8, -6, -8, 18, 8
18,12:-4, 2, 6, 0, 4, -2, 2, 2, 16, 16
16,-22:-4, 4, -4, -22, -22, -28, -34, -32, -36, -28
8,-5:-4, 4, 4, 4, 10, -14, -10, -14, -12, -2
8,-5:-4, 4, 4, 4, 10, -14, -10, -14, -12, 0
8,-5:-4, 4, 4, 4, 10, -14, -10, -14, -12, 2
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 12, 6
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 12, 8
8,-2:6, -4, -4, -4, -8, 8, -6, 0, 12, 10
8,-2:6, -4, -4, -4, -8, 8, -6, 4, 2, -4
8,-2:6, -4, -4, -4, -8, 8, -6, 4, 2, -2
11,12:6, -4, -4, -4, -4, 8, 10, 14, 8, 8
-6,10:6, 6, -2, 6, 18, 32, 22, 24, 18, 40
6,6:6, 6, -2, 10, 14, 6, 6, 2, 20, 8
6,6:6, 6, -2, 10, 14, 6, 6, 2, 20, 10
6,6:6, 6, -2, 10, 14, 6, 6, 2, 20, 12
12,6:6, 6, 2, 10, 6, -8, -10, 6, 0, 8
12,6:6, 6, 2, 10, 6, -8, -10, 6, 0, 12
12,6:6, 6, 2, 10, 6, -8, -10, 6, 8, 0
12,6:6, 6, 2, 10, 6, -8, -10, 6, 8, 2
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 18, 22
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 18, 24
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 18, 26
-4,-3:6, 6, 8, 8, 0, -6, 12, 8, 22, 22
-4,-3:6, 6, 8, 8, 0, -6, 12, 14, 14, 16
