6,-6:-4, -6, -4, -8, -12
-2,4:-4, 0, -2, -10, 6
-2,4:-4, 0, -2, 6, -10
-2,4:-4, 0, -2, 6, -6
-2,-2:-4, -12, -8, -14, -14, 2
2,-6:-4, -6, -6, 0, 2, -2
-2,4:-4, 0, -2, -4, 6, -12
-2,4:-4, 0, -2, -4, 6, -10
-2,4:-4, 0, -2, -4, 6, -8
9,-11:-4, 0, 4, 6, -16, -20
14,-4:-4, 4, -8, -14, -18, 2
-7,-3:-4, 4, -8, -14, -12, -6
-7,-3:-4, 4, -8, -14, -12, -4
-7,-3:-4, 4, -8, -14, -12, -2
14,-4:-4, 4, -8, -14, 2, -18
16,2:-4, -12, -8, -2, -14, -8, -20
5,-11:-4, -12, -8, -2, -14, -8, -18
5,-11:-4, -12, -8, -2, -14, -8, -16
2,-16:-4, -12, -8, 2, 0, -28, -18
0,8:-4, -12, -6, -14, 8, 2, 8
0,8:-4, -12, -6, -14, 8, 8, 2
-7,9:-4, -12, -6, -14, 8, 8, 8
-3,11:-4, -12, -4, 6, -12, -14, 0
-3,11:-4, -12, -4, 6, -8, 2, 4
-3,11:-4, -12, -4, 6, -8, 2, 8
-3,11:-4, -12, -4, 6, -8, 8, 2
-3,11:-4, -12, -4, 6, 2, -12, 0
-3,11:-4, -12, -4, 6, 2, 2, -4
-3,11:-4, -12, -4, 6, 2, 2, 0
-3,11:-4, -12, -4, 6, 2, 4, -8
13,-7:-4, -6, -6, -16, -2, -20, 8
13,-7:-4, -6, -6, -16, -2, 8, -20
2,-1:-4, -6, -6, 0, -2, -6, -6
10,-15:-4, -6, 6, -8, -12, 6, -4
1,5:-4, -4, -8, -12, -16, -10, 4
1,5:-4, -4, -8, -12, -16, 4, -10
1,5:-4, -4, -8, -12, -16, 4, -4
15,-1:-4, -4, 2, 8, -12, -16, -4
15,-1:-4, -4, 2, 8, -12, -4, -16
6,-6:-4, -4, 4, -4, -8, -12, 2
6,-6:-4, -4, 4, -4, -8, -12, 4
6,-6:-4, -4, 4, -4, -8, -12, 6
6,-6:-4, -4, 6, -4, -8, -12, 0
6,-6:-4, -4, 6, -4, -8, -12, 10
7,1:-4, 0, -16, 0, 10, 8, 6
5,1:-4, 0, -12, -12, -6, 4, 14
4,9:-4, 0, -12, 0, 10, 16, 8
-2,4:-4, 0, -2, -4, -4, 6, -10
-2,4:-4, 0, -2, -4, -4, 6, -8
-2,4:-4, 0, -2, -4, -4, 6, -6
15,5:-4, 0, 0, -6, 6, 4, 10
4,9:-4, 0, 0, 10, 16, 8, -12
4,9:-4, 0, 0, 10, 16, 8, -10
4,9:-4, 0, 0, 10, 16, 8, -8
8,1:-4, 0, 4, -4, 2, 4, 2
8,1:-4, 0, 4, -4, 2, 4, 4
20,0:-4, 0, 6, -6, -20, -4, 2
20,0:-4, 0, 6, -6, -20, -4, 4
20,0:-4, 0, 6, -6, -20, 4, -4
14,8:-4, 0, 6, -6, -18, -6, 4
14,8:-4, 0, 6, -6, -18, 4, -6
2,5:-4, 0, 6, -6, -6, -6, -12
2,5:-4, 0, 6, -6, -6, -6, -10
14,8:-4, 0, 6, -6, -6, 4, -18
20,0:-4, 0, 6, -6, -4, 2, -20
3,-3:-4, 0, 6, 4, -6, -8, 2
3,-3:-4, 0, 6, 4, -6, -8, 4
3,-3:-4, 0, 6, 4, -6, -8, 6
3,-7:-4, 2, 0, -8, -2, 6, -8
14,-18:-4, 2, 0, -8, 4, -22, -22
14,-18:-4, 2, 0, -8, 4, -22, -20
13,13:-4, 2, 6, -8, 2, -10, 10
3,-7:-4, 2, 6, -8, 6, -2, -14
3,-7:-4, 2, 6, -8, 6, -2, -12
3,-7:-4, 2, 6, -8, 6, -2, -10
-6,2:-4, 2, 6, 2, -2, 0, 8
-6,2:-4, 2, 6, 2, -2, 8, 0
-5,-7:-4, 2, 6, 10, 2, -2, 14
-5,-7:-4, 2, 6, 10, 2, -2, 18
-5,-7:-4, 2, 6, 10, 2, 14, -2
8,6:-4, 4, -10, 0, -14, -20, -2
8,6:-4, 4, -10, 0, -14, -2, -20
14,-4:-4, 4, -8, -14, -18, -4, -4
14,-4:-4, 4, -8, -14, -18, -4, -2
14,-4:-4, 4, -8, -14, -18, 0, -4
-7,-3:-4, 4, -8, -14, -12, -10, -8
-7,-3:-4, 4, -8, -14, -12, -10, -6
-7,-3:-4, 4, -8, -14, -12, -10, -4
9,5:-4, 4, -4, -26, -20, -8, -26
9,5:-4, 4, -4, -26, -20, -8, -24
5,-7:-4, 4, 6, 2, -10, 0, 12
5,-7:-4, 4, 6, 2, -10, 0, 14
5,-7:-4, 4, 6, 2, -10, 0, 16
5,-7:-4, 4, 6, 2, -10, 12, 0
5,-7:-4, 4, 6, 2, -10, 12, 2
5,-7:-4, 4, 6, 2, -10, 12, 4
5,-7:-4, 4, 6, 2, 0, 12, -8
5,-7:-4, 4, 6, 2, 0, 12, -2
5,-7:-4, 4, 6, 2, 2, 12, -10
5,-7:-4, 4, 6, 2, 2, 12, -8
9,-3:6, -4, -4, -6, -4, -8, -12
1,7:6, -4, -4, 0, -2, -10, 6
1,7:6, -4, -4, 0, -2, 6, -10
1,7:6, -4, -4, 0, -2, 6, -6
-17,8:6, 6, -2, 6, 12, 26, 28
6,-9:6, 6, 2, -6, -6, 2, 10
6,-9:6, 6, 2, -6, -6, 2, 12
6,-9:6, 6, 2, -6, -6, 2, 14
6,-9:6, 6, 2, -6, -6, 10, 2
6,-9:6, 6, 2, -6, -6, 10, 10
3,12:6, 6, 2, -6, 2, 0, 2
-11,3:6, 6, 6, 0, -10, -12, 10
5,-1:6, 6, 8, 8, 6, -6, 10
5,-1:6, 6, 8, 8, 6, 10, -6
