-4,6:-4, 0, -12, -12, 8, 4
2,-5:-4, 2, 6, 2, -2, 10
8,-10:-4, 2, 6, 2, 0, -10
11,-5:-4, -12, -8, -4, -4, -2, -4
13,-2:-4, -6, -8, -10, -20, -10, -2
13,-2:-4, -6, -8, -10, -20, -10, 0
13,-2:-4, -6, -8, -10, -20, -10, 2
13,-2:-4, -6, -8, -10, -10, -2, -20
13,-2:-4, -4, -8, -10, -20, -10, -18
13,-2:-4, -4, -8, -10, -20, -10, -14
-2,10:-4, -4, -8, -2, -12, -16, -6
-2,10:-4, -4, -8, -2, -12, -16, -4
-2,10:-4, -4, -8, -2, -12, -16, -2
-2,10:-4, -4, -8, -2, -12, -10, -12
-2,10:-4, -4, -8, -2, -12, -10, -10
-2,10:-4, -4, -8, -2, -12, -10, -8
-2,10:-4, -4, -8, -2, -12, -6, -16
-2,10:-4, -4, -8, -2, -12, -6, -14
-2,10:-4, -4, -8, -2, -12, -6, -12
15,-9:-4, 0, -12, 0, -8, 2, -12
7,2:-4, 2, 6, -14, -18, -18, 4
7,2:-4, 2, 6, -14, -18, 4, -18
7,2:-4, 2, 6, -14, -18, 4, -16
7,2:-4, 2, 6, -14, -18, 4, -14
2,-5:-4, 2, 6, 2, -2, 6, 12
2,-5:-4, 2, 6, 2, -2, 8, 4
2,-5:-4, 2, 6, 2, -2, 8, 6
4,0:-4, 2, 6, 2, 6, 6, -8
16,-17:-4, 4, -4, -26, -14, -24, -34
-8,9:6, 6, -4, -4, 0, 0, 12
-3,3:6, 6, -4, -4, 0, 4, -8
8,-3:6, 6, 2, -6, 12, 14, -2
