3,-5:-4, -6, -4, -10
6,-10:-4, 0, 4, 6, -18
11,-3:-4, 4, -8, -16, 2
11,-3:-4, 4, -8, 2, -16
-3,4:6, 6, 8, 6, 12
-2,3:-4, -6, 6, -8, -20, -6
-2,3:-4, -6, 6, -8, -12, -14
-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
3,-5:-4, -4, 4, -4, -10, 2
3,-5:-4, -4, 4, -4, -10, 4
3,-5:-4, -4, 4, -4, -10, 6
3,-5:-4, -4, 6, -4, -10, 0
3,-5:-4, -4, 6, -4, -10, 10
10,-4:-4, 2, 6, 0, 14, -4
-8,-6:-4, 2, 6, 10, 0, 14
-8,-6:-4, 2, 6, 10, 0, 18
-8,-6:-4, 2, 6, 10, 14, 0
11,-3:-4, 4, -8, -16, -4, -4
11,-3:-4, 4, -8, -16, -4, -2
11,-3:-4, 4, -8, -16, 0, -4
-2,3:-4, 4, -8, -6, 6, -16
6,-2:6, -4, -4, -6, -4, -10
-1,12:6, 6, -2, 10, 0, 18
-1,12:6, 6, -2, 10, 18, 0
-8,7:6, 6, 2, -2, -4, 20
-12,9:-4, -14, -8, 20, 22, 20, 26
8,7:-4, -14, 14, -2, 0, -2, 4
-2,3:-4, -12, 4, 6, -8, -18, -20
-2,3:-4, -12, 4, 6, -8, -18, -10
0,3:-4, -6, -14, 2, 6, 10, 8
9,-5:-4, -6, -8, -6, -2, -10, -16
-3,-3:-4, -6, -6, -16, 0, -4, -2
4,6:-4, -6, -6, -4, 2, -8, 0
4,6:-4, -6, -6, -4, 2, 0, -8
4,6:-4, -6, -6, -4, 2, 0, -6
4,6:-4, -6, -6, -4, 2, 0, -4
-3,-3:-4, -6, -6, 0, -4, -2, -16
-3,-3:-4, -6, -6, 0, -4, -2, -12
0,-6:-4, -6, -6, 2, -10, -18, -4
0,-6:-4, -6, -6, 2, -10, -4, -18
0,-6:-4, -6, -6, 2, -10, -4, -14
5,-9:-4, -6, 0, -8, -12, -10, -16
5,-14:-4, -6, 0, -2, -30, -16, -14
5,-14:-4, -6, 0, -2, -16, -14, -30
5,-14:-4, -6, 0, -2, -16, -14, -22
25,-10:-4, -6, 0, -2, -14, -32, -30
-2,3:-4, -6, 6, -8, -20, -20, -8
-2,3:-4, -6, 6, -8, -20, -10, -14
-2,3:-4, -6, 6, -8, -20, -8, -20
-2,3:-4, -6, 6, -8, -20, -8, -18
-2,3:-4, -6, 6, -8, -20, -8, -16
-2,3:-4, -6, 6, -8, -18, -20, -8
-2,3:-4, -6, 6, -8, -18, -20, -6
-2,3:-4, -6, 6, -8, -18, -20, -4
-2,3:-4, -6, 6, -8, -12, -12, -12
-2,3:-4, -6, 6, -8, -12, -12, -10
-2,3:-4, -6, 6, -8, -10, -20, -12
-2,3:-4, -6, 6, -8, -10, -20, -10
-2,3:-4, -6, 6, -8, -10, -20, -8
-2,3:-4, -6, 6, -8, -8, -16, -20
-2,3:-4, -6, 6, -8, -8, -16, -18
-2,3:-4, -6, 6, -8, -8, -16, -16
12,4:-4, -4, -8, -12, -14, -10, 6
