-2,3:-4, -6, -6, -4, -8, 8
-2,3:-4, -6, -6, -4, 8, -8
2,-13:-4, -4, 2, 12, 14, -8
-10,4:-4, 0, -12, 8, 8, -8
-10,4:-4, 0, -12, 8, 8, 0
11,1:-4, 0, 0, 8, 2, 0
-10,4:-4, 0, 8, 8, 0, -12
-10,4:-4, 0, 8, 8, 0, -10
-10,4:-4, 0, 8, 8, 0, -8
7,-19:-4, 4, -4, -26, -10, -26
6,-1:6, 6, 2, 4, -4, 8
6,-1:6, 6, 2, 4, -4, 12
6,-1:6, 6, 2, 4, 8, -4
-4,7:6, 6, 8, 6, 10, 14
12,2:-4, -12, -8, -14, -14, -20, 0
12,2:-4, -12, -8, -14, -14, 0, -20
5,12:-4, -12, 4, 4, 6, -8, 10
-4,19:-4, -6, -14, 2, 8, -2, 26
-4,19:-4, -6, -14, 2, 8, 26, -2
7,-8:-4, -6, -14, 6, -4, -6, 10
7,-8:-4, -6, -14, 6, -4, 10, -6
-2,-1:-4, -6, -14, 6, 6, 12, 16
-2,-1:-4, -6, -14, 6, 6, 12, 20
11,0:-4, -6, -8, -2, -10, -20, -8
11,0:-4, -6, -8, -2, -10, -8, -20
-2,-1:-4, -6, 6, 6, 12, 16, -14
-2,-1:-4, -6, 6, 6, 12, 16, -4
14,-1:-4, -4, -8, -12, -12, -6, 6
14,-1:-4, -4, -8, -12, -12, -4, 6
14,-1:-4, -4, -8, -12, -12, -4, 8
14,-1:-4, -4, -8, -12, -12, -4, 10
14,-1:-4, -4, -8, -12, -12, 6, -4
14,-1:-4, -4, -8, -12, -12, 6, -2
14,-1:-4, -4, -8, -12, -6, 6, -12
2,13:-4, -4, 8, 6, 10, 2, 14
2,13:-4, -4, 8, 6, 10, 14, 2
22,-16:-4, 0, -12, 0, -6, -18, -14
-9,7:-4, 0, -12, 8, 8, -8, 14
-10,4:-4, 0, -12, 8, 8, -6, -16
-10,4:-4, 0, -12, 8, 8, -6, -12
-10,4:-4, 0, -12, 8, 8, -4, -8
-10,4:-4, 0, -12, 8, 8, -4, -4
-10,4:-4, 0, -12, 8, 8, 2, -8
-10,4:-4, 0, -12, 8, 8, 2, -2
-10,4:-4, 0, -12, 8, 8, 2, 2
-9,7:-4, 0, -12, 8, 8, 14, -8
-9,7:-4, 0, -12, 8, 8, 14, 0
3,12:-4, 0, -8, -10, 8, 2, 12
12,4:-4, 0, 0, 8, 2, -10, 0
12,4:-4, 0, 0, 8, 2, 0, -10
-10,4:-4, 0, 8, 8, -4, 2, -2
-9,7:-4, 0, 8, 8, 0, 14, -12
-9,7:-4, 0, 8, 8, 0, 14, -10
-9,7:-4, 0, 8, 8, 0, 14, -8
-1,3:-4, 2, 6, -8, 10, 0, 10
-1,3:-4, 2, 6, -8, 10, 0, 12
-1,3:-4, 2, 6, -8, 10, 10, 0
-1,3:-4, 2, 6, -8, 10, 10, 2
12,-5:-4, 2, 6, 0, -4, -10, 4
12,-5:-4, 2, 6, 0, -4, -10, 6
12,-5:-4, 2, 6, 0, -4, -10, 8
12,-5:-4, 2, 6, 0, -4, 4, -10
6,3:-4, 4, -10, 0, -6, -12, 0
6,3:-4, 4, -10, 0, -6, 0, -12
6,3:-4, 4, -10, 0, -6, 0, -10
11,3:-4, 4, -10, 6, 0, 14, 8
-3,-4:-4, 4, -8, 6, -4, -2, 2
15,-16:-4, 4, -4, -26, -20, -8, -8
15,-16:-4, 4, -4, -26, -20, -8, -6
8,-16:-4, 4, -4, -26, -10, -26, -26
7,-19:-4, 4, -4, -20, -10, -26, -18
0,-3:-4, 4, -2, -12, 6, 4, -12
-2,-1:-4, 4, 6, 6, 12, 16, -14
-2,15:6, 6, -2, 10, 0, 16, 20
-1,-6:6, 6, -2, 10, 16, 14, 4
-1,-6:6, 6, -2, 10, 16, 14, 6
-1,-6:6, 6, -2, 10, 16, 14, 8
-2,15:6, 6, -2, 10, 16, 20, 0
-9,10:6, 6, 2, -2, -4, 18, 22
6,-1:6, 6, 2, 4, -4, 6, 10
6,-1:6, 6, 2, 4, -4, 6, 12
6,-1:6, 6, 2, 4, -4, 6, 14
-4,3:6, 6, 8, 8, 0, 2, 4
0,-1:6, 6, 14, 10, 16, 16, 0
